font,fontVariant,m_label,strength,italic,orientation,m_top,m_left,originalH,originalW,h,w,r0c0,r0c1,r0c2,r0c3,r0c4,r0c5,r0c6,r0c7,r0c8,r0c9,r0c10,r0c11,r0c12,r0c13,r0c14,r0c15,r0c16,r0c17,r0c18,r0c19,r1c0,r1c1,r1c2,r1c3,r1c4,r1c5,r1c6,r1c7,r1c8,r1c9,r1c10,r1c11,r1c12,r1c13,r1c14,r1c15,r1c16,r1c17,r1c18,r1c19,r2c0,r2c1,r2c2,r2c3,r2c4,r2c5,r2c6,r2c7,r2c8,r2c9,r2c10,r2c11,r2c12,r2c13,r2c14,r2c15,r2c16,r2c17,r2c18,r2c19,r3c0,r3c1,r3c2,r3c3,r3c4,r3c5,r3c6,r3c7,r3c8,r3c9,r3c10,r3c11,r3c12,r3c13,r3c14,r3c15,r3c16,r3c17,r3c18,r3c19,r4c0,r4c1,r4c2,r4c3,r4c4,r4c5,r4c6,r4c7,r4c8,r4c9,r4c10,r4c11,r4c12,r4c13,r4c14,r4c15,r4c16,r4c17,r4c18,r4c19,r5c0,r5c1,r5c2,r5c3,r5c4,r5c5,r5c6,r5c7,r5c8,r5c9,r5c10,r5c11,r5c12,r5c13,r5c14,r5c15,r5c16,r5c17,r5c18,r5c19,r6c0,r6c1,r6c2,r6c3,r6c4,r6c5,r6c6,r6c7,r6c8,r6c9,r6c10,r6c11,r6c12,r6c13,r6c14,r6c15,r6c16,r6c17,r6c18,r6c19,r7c0,r7c1,r7c2,r7c3,r7c4,r7c5,r7c6,r7c7,r7c8,r7c9,r7c10,r7c11,r7c12,r7c13,r7c14,r7c15,r7c16,r7c17,r7c18,r7c19,r8c0,r8c1,r8c2,r8c3,r8c4,r8c5,r8c6,r8c7,r8c8,r8c9,r8c10,r8c11,r8c12,r8c13,r8c14,r8c15,r8c16,r8c17,r8c18,r8c19,r9c0,r9c1,r9c2,r9c3,r9c4,r9c5,r9c6,r9c7,r9c8,r9c9,r9c10,r9c11,r9c12,r9c13,r9c14,r9c15,r9c16,r9c17,r9c18,r9c19,r10c0,r10c1,r10c2,r10c3,r10c4,r10c5,r10c6,r10c7,r10c8,r10c9,r10c10,r10c11,r10c12,r10c13,r10c14,r10c15,r10c16,r10c17,r10c18,r10c19,r11c0,r11c1,r11c2,r11c3,r11c4,r11c5,r11c6,r11c7,r11c8,r11c9,r11c10,r11c11,r11c12,r11c13,r11c14,r11c15,r11c16,r11c17,r11c18,r11c19,r12c0,r12c1,r12c2,r12c3,r12c4,r12c5,r12c6,r12c7,r12c8,r12c9,r12c10,r12c11,r12c12,r12c13,r12c14,r12c15,r12c16,r12c17,r12c18,r12c19,r13c0,r13c1,r13c2,r13c3,r13c4,r13c5,r13c6,r13c7,r13c8,r13c9,r13c10,r13c11,r13c12,r13c13,r13c14,r13c15,r13c16,r13c17,r13c18,r13c19,r14c0,r14c1,r14c2,r14c3,r14c4,r14c5,r14c6,r14c7,r14c8,r14c9,r14c10,r14c11,r14c12,r14c13,r14c14,r14c15,r14c16,r14c17,r14c18,r14c19,r15c0,r15c1,r15c2,r15c3,r15c4,r15c5,r15c6,r15c7,r15c8,r15c9,r15c10,r15c11,r15c12,r15c13,r15c14,r15c15,r15c16,r15c17,r15c18,r15c19,r16c0,r16c1,r16c2,r16c3,r16c4,r16c5,r16c6,r16c7,r16c8,r16c9,r16c10,r16c11,r16c12,r16c13,r16c14,r16c15,r16c16,r16c17,r16c18,r16c19,r17c0,r17c1,r17c2,r17c3,r17c4,r17c5,r17c6,r17c7,r17c8,r17c9,r17c10,r17c11,r17c12,r17c13,r17c14,r17c15,r17c16,r17c17,r17c18,r17c19,r18c0,r18c1,r18c2,r18c3,r18c4,r18c5,r18c6,r18c7,r18c8,r18c9,r18c10,r18c11,r18c12,r18c13,r18c14,r18c15,r18c16,r18c17,r18c18,r18c19,r19c0,r19c1,r19c2,r19c3,r19c4,r19c5,r19c6,r19c7,r19c8,r19c9,r19c10,r19c11,r19c12,r19c13,r19c14,r19c15,r19c16,r19c17,r19c18,r19c19
ARIAL,ARIAL NARROW,80,0.400000,1,0.000000,34,22,48,36,20,20,1,1,1,1,142,255,255,255,255,255,255,255,255,255,255,255,161,67,15,1,1,1,1,22,227,255,255,255,255,255,255,255,255,255,255,255,255,255,133,1,1,1,1,29,255,255,178,22,22,22,22,22,22,22,22,128,230,255,253,104,1,1,1,64,255,255,135,1,1,1,1,1,1,1,1,1,64,241,255,208,1,1,1,171,255,255,29,1,1,1,1,1,1,1,1,1,1,199,255,255,1,1,1,171,255,255,29,1,1,1,1,1,1,1,1,1,1,199,255,255,1,1,43,234,255,171,8,1,1,1,1,1,1,1,1,1,29,218,255,208,1,1,57,255,255,142,1,1,1,1,1,1,1,1,1,1,156,255,255,114,1,1,93,255,255,107,1,1,1,1,1,1,1,1,1,111,246,255,237,38,1,1,199,255,255,1,1,1,1,1,1,1,24,107,166,255,255,232,74,1,1,1,199,255,255,255,255,255,255,255,255,255,255,255,255,255,182,24,1,1,1,64,241,255,255,255,255,255,255,255,255,255,255,199,171,64,8,1,1,1,1,86,255,255,126,22,22,22,22,22,22,22,22,8,1,1,1,1,1,1,1,121,255,248,86,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,227,255,227,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,227,255,227,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,86,248,255,121,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,114,255,255,86,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,149,255,241,64,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,255,255,199,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
ARIAL,ARIAL NARROW,79,0.400000,1,0.000000,33,25,50,37,20,20,1,1,1,1,1,1,27,96,189,255,255,255,255,206,112,35,1,1,1,1,1,1,1,1,14,163,231,255,255,255,255,255,255,255,255,239,100,1,1,1,1,1,1,61,222,255,255,233,114,20,1,1,3,103,220,255,255,167,20,1,1,1,31,218,255,250,101,29,1,1,1,1,1,1,21,173,255,255,152,1,1,20,222,255,249,138,1,1,1,1,1,1,1,1,1,34,195,255,239,24,1,152,255,255,166,1,1,1,1,1,1,1,1,1,1,1,63,255,255,118,24,239,255,222,34,1,1,1,1,1,1,1,1,1,1,1,25,210,255,200,118,255,255,90,1,1,1,1,1,1,1,1,1,1,1,1,1,180,255,255,145,255,255,63,1,1,1,1,1,1,1,1,1,1,1,1,1,180,255,255,255,255,195,13,1,1,1,1,1,1,1,1,1,1,1,1,1,180,255,255,255,255,180,1,1,1,1,1,1,1,1,1,1,1,1,1,13,195,255,255,255,255,180,1,1,1,1,1,1,1,1,1,1,1,1,1,63,255,255,145,255,255,180,1,1,1,1,1,1,1,1,1,1,1,1,1,145,255,251,94,255,255,210,25,1,1,1,1,1,1,1,1,1,1,1,34,222,255,235,1,118,255,255,90,1,1,1,1,1,1,1,1,1,1,1,166,255,255,97,1,24,239,255,222,34,1,1,1,1,1,1,1,1,1,138,249,255,167,20,1,1,133,247,255,173,21,1,1,1,1,1,1,29,101,250,255,191,31,1,1,1,1,159,255,255,225,152,58,1,1,20,114,233,255,255,222,34,1,1,1,1,1,1,100,239,255,255,255,255,255,255,255,255,231,108,14,1,1,1,1,1,1,1,1,35,112,206,255,255,255,236,154,96,27,1,1,1,1,1,1
ARIAL,ARIAL NARROW,78,0.400000,1,0.000000,34,23,48,38,20,20,1,1,1,1,202,255,255,94,1,1,1,1,1,1,1,1,1,162,255,255,1,1,1,61,242,255,255,195,1,1,1,1,1,1,1,1,1,162,255,255,1,1,1,81,255,255,255,242,54,1,1,1,1,1,1,1,37,248,255,132,1,1,1,115,255,242,235,255,141,1,1,1,1,1,1,1,41,255,255,121,1,1,1,215,255,202,119,255,242,1,1,1,1,1,1,1,97,255,250,71,1,1,1,215,255,202,34,240,255,121,1,1,1,1,1,1,175,255,242,1,1,1,71,245,255,157,1,162,255,222,1,1,1,1,1,18,202,255,242,1,1,1,94,255,255,68,1,94,255,255,68,1,1,1,1,54,255,255,119,1,1,1,128,255,255,68,1,21,229,255,215,9,1,1,1,54,255,255,108,1,1,1,229,255,200,12,1,1,148,255,255,70,1,1,1,166,255,244,63,1,1,1,229,255,188,1,1,1,14,255,255,166,5,1,1,188,255,229,1,1,1,81,249,255,144,1,1,1,4,165,255,255,27,1,23,211,255,229,1,1,1,108,255,255,54,1,1,1,1,68,255,255,150,1,68,255,255,106,1,1,1,141,255,255,54,1,1,1,1,1,166,255,224,27,68,255,255,94,1,1,1,242,255,188,9,1,1,1,1,1,71,250,255,41,179,255,239,55,1,1,1,242,255,175,1,1,1,1,1,1,1,220,255,175,202,255,215,1,1,1,91,252,255,130,1,1,1,1,1,1,1,108,255,202,220,255,215,1,1,1,121,255,255,41,1,1,1,1,1,1,1,9,231,255,255,255,92,1,1,1,155,255,232,31,1,1,1,1,1,1,1,1,139,255,255,255,81,1,1,1,255,255,162,1,1,1,1,1,1,1,1,1,55,239,255,211,14,1,1,1
ARIAL,ARIAL NARROW,77,0.400000,1,0.000000,34,23,48,45,20,20,1,1,1,227,255,255,76,1,1,1,1,1,1,1,1,1,95,255,255,189,1,1,29,237,255,255,171,1,1,1,1,1,1,1,1,1,227,255,255,142,1,1,86,255,255,255,171,1,1,1,1,1,1,1,1,57,255,255,255,133,1,1,86,255,255,255,171,1,1,1,1,1,1,1,1,189,248,234,255,29,1,1,133,255,255,255,241,24,1,1,1,1,1,1,71,251,239,206,255,29,1,1,199,255,185,241,255,29,1,1,1,1,1,1,199,255,123,255,241,24,1,1,199,255,114,171,255,29,1,1,1,1,1,43,241,218,114,255,171,1,1,29,227,255,114,171,255,133,1,1,1,1,3,168,255,133,142,255,171,1,1,57,255,255,38,171,255,142,1,1,1,1,57,255,234,22,218,255,95,1,1,57,255,255,1,76,255,142,1,1,1,1,142,255,123,1,255,255,57,1,1,171,255,237,1,57,255,255,1,1,1,19,255,222,24,19,255,246,48,1,1,171,255,142,1,57,255,255,1,1,1,152,255,161,1,114,255,199,1,1,3,178,255,142,1,5,204,255,1,1,43,241,241,43,1,114,255,199,1,1,29,255,255,114,1,1,199,255,76,1,114,255,152,1,1,189,255,123,1,1,29,255,255,29,1,1,199,255,114,24,222,255,19,1,1,227,255,86,1,1,48,255,255,29,1,1,86,255,114,123,255,189,1,1,1,227,255,86,1,1,142,255,192,8,1,1,86,255,123,199,255,57,1,1,64,248,234,22,1,1,142,255,171,1,1,1,86,255,152,255,168,3,1,1,86,255,227,1,1,1,171,255,142,1,1,1,29,237,255,255,57,1,1,1,114,255,199,1,1,1,255,255,57,1,1,1,1,227,255,208,10,1,1,1,199,255,114,1,1,1
ARIAL,ARIAL NARROW,76,0.400000,1,0.000000,34,22,48,27,20,20,1,1,1,1,1,19,255,255,255,161,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,161,255,255,234,41,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,208,255,255,227,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,36,220,255,255,180,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,142,255,255,255,38,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,142,255,255,255,38,1,1,1,1,1,1,1,1,1,1,1,1,1,1,57,227,255,255,142,10,1,1,1,1,1,1,1,1,1,1,1,1,1,1,76,255,255,255,104,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,121,255,255,234,78,1,1,1,1,1,1,1,1,1,1,1,1,1,1,10,255,255,255,171,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,10,255,255,255,171,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,152,255,255,241,43,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,199,255,255,237,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,34,213,255,255,189,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,133,255,255,255,48,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,133,255,255,255,48,1,1,1,1,1,1,1,1,1,1,1,1,1,1,50,225,255,255,149,12,1,1,1,1,1,1,1,1,1,1,1,1,1,1,67,255,255,255,126,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,114,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,98
ARIAL,ARIAL NARROW,75,0.400000,1,0.000000,34,23,48,38,20,20,1,1,1,1,202,255,215,1,1,1,1,1,1,1,1,54,222,255,253,157,1,1,1,27,220,255,171,1,1,1,1,1,1,1,96,239,255,247,106,1,1,1,1,81,255,255,81,1,1,1,1,1,1,86,251,255,224,59,1,1,1,1,1,81,255,255,81,1,1,1,1,1,97,242,255,186,27,1,1,1,1,1,1,193,255,211,14,1,1,1,1,146,251,255,144,12,1,1,1,1,1,1,1,215,255,202,1,1,1,23,200,255,255,97,1,1,1,1,1,1,1,1,32,229,255,157,1,1,55,225,255,255,140,11,1,1,1,1,1,1,1,1,94,255,255,68,4,100,247,255,245,89,3,1,1,1,1,1,1,1,1,1,94,255,255,68,74,255,255,255,165,4,1,1,1,1,1,1,1,1,1,1,206,255,200,112,242,255,255,255,255,70,1,1,1,1,1,1,1,1,1,1,229,255,255,255,249,135,12,235,255,211,16,1,1,1,1,1,1,1,1,81,249,255,255,255,115,1,1,90,255,255,72,1,1,1,1,1,1,1,1,108,255,255,250,134,7,1,1,1,244,255,209,21,1,1,1,1,1,1,1,141,255,255,99,1,1,1,1,1,91,252,255,130,1,1,1,1,1,1,1,242,255,188,9,1,1,1,1,1,1,186,255,242,45,1,1,1,1,1,1,242,255,175,1,1,1,1,1,1,1,45,240,255,200,12,1,1,1,1,91,252,255,130,1,1,1,1,1,1,1,1,128,255,255,112,1,1,1,1,121,255,255,41,1,1,1,1,1,1,1,1,8,207,255,206,7,1,1,1,155,255,232,31,1,1,1,1,1,1,1,1,1,81,255,255,115,1,1,1,255,255,162,1,1,1,1,1,1,1,1,1,1,14,211,255,232,40,1,1
ARIAL,ARIAL NARROW,74,0.400000,1,0.000000,34,22,49,27,20,20,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,180,255,255,255,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,88,239,255,255,109,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,114,255,255,255,67,1,1,1,1,1,1,1,1,1,1,1,1,1,1,16,160,255,255,215,45,1,1,1,1,1,1,1,1,1,1,1,1,1,1,48,255,255,255,133,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,48,255,255,255,133,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,213,255,255,206,17,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,237,255,255,199,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,73,245,255,255,118,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,171,255,255,255,10,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,171,255,255,255,10,1,1,1,1,1,1,1,1,1,1,1,1,1,1,102,254,255,255,80,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,104,255,255,255,76,1,1,1,32,32,32,22,1,1,1,1,1,1,1,21,185,255,255,195,36,1,1,1,255,255,255,180,1,1,1,1,1,1,1,38,255,255,255,142,1,1,1,1,255,255,255,180,1,1,1,1,1,1,1,131,255,255,252,131,1,1,1,1,255,255,255,200,31,1,1,1,1,1,43,235,255,255,208,1,1,1,1,1,171,255,255,255,177,107,11,11,22,154,242,255,255,249,46,1,1,1,1,1,25,148,243,255,255,255,255,255,255,255,255,247,156,32,1,1,1,1,1,1,1,1,41,151,209,255,255,255,255,217,151,52,1,1,1,1,1,1,1,1
ARIAL,ARIAL NARROW,73,0.400000,1,0.000000,34,23,48,13,20,20,1,1,1,1,1,1,1,1,1,1,1,1,177,255,255,255,255,255,255,255,1,1,1,1,1,1,1,1,1,1,45,192,236,255,255,255,255,255,153,64,1,1,1,1,1,1,1,1,1,1,59,255,255,255,255,255,255,255,118,1,1,1,1,1,1,1,1,1,1,50,108,255,255,255,255,255,251,192,89,1,1,1,1,1,1,1,1,1,1,197,255,255,255,255,255,255,236,1,1,1,1,1,1,1,1,1,1,1,1,197,255,255,255,255,255,255,236,1,1,1,1,1,1,1,1,1,1,59,192,241,255,255,255,255,255,138,59,1,1,1,1,1,1,1,1,1,1,79,255,255,255,255,255,255,255,99,1,1,1,1,1,1,1,1,1,1,54,123,255,255,255,255,255,246,192,74,1,1,1,1,1,1,1,1,1,1,216,255,255,255,255,255,255,216,1,1,1,1,1,1,1,1,1,1,1,1,216,255,255,255,255,255,255,216,1,1,1,1,1,1,1,1,1,1,74,192,246,255,255,255,255,255,123,54,1,1,1,1,1,1,1,1,1,1,99,255,255,255,255,255,255,255,79,1,1,1,1,1,1,1,1,1,1,59,138,255,255,255,255,255,241,192,59,1,1,1,1,1,1,1,1,1,1,236,255,255,255,255,255,255,197,1,1,1,1,1,1,1,1,1,1,1,1,236,255,255,255,255,255,255,197,1,1,1,1,1,1,1,1,1,1,89,192,251,255,255,255,255,255,108,50,1,1,1,1,1,1,1,1,1,1,118,255,255,255,255,255,255,255,59,1,1,1,1,1,1,1,1,1,1,64,153,255,255,255,255,255,236,192,45,1,1,1,1,1,1,1,1,1,1,255,255,255,255,255,255,255,177,1,1,1,1,1,1,1,1,1,1,1,1
ARIAL,ARIAL NARROW,72,0.400000,1,0.000000,34,23,48,39,20,20,1,1,1,1,229,255,171,1,1,1,1,1,1,1,1,1,1,144,255,255,1,1,1,79,249,255,72,1,1,1,1,1,1,1,1,1,15,228,255,157,1,1,1,105,255,255,40,1,1,1,1,1,1,1,1,1,20,255,255,125,1,1,1,138,255,233,30,1,1,1,1,1,1,1,1,1,53,255,254,94,1,1,1,236,255,164,1,1,1,1,1,1,1,1,1,1,151,255,249,1,1,1,1,236,255,164,1,1,1,1,1,1,1,1,1,1,151,255,249,1,1,1,84,251,255,66,1,1,1,1,1,1,1,1,1,20,229,255,151,1,1,1,112,255,255,33,1,1,1,1,1,1,1,1,1,27,255,255,118,1,1,1,144,255,255,181,171,171,171,171,171,171,171,171,171,179,255,252,89,1,1,1,242,255,255,255,255,255,255,255,255,255,255,255,255,255,255,242,1,1,1,1,242,255,198,107,107,107,107,107,107,107,107,107,107,198,255,242,1,1,1,89,252,255,59,1,1,1,1,1,1,1,1,1,25,231,255,144,1,1,1,118,255,255,27,1,1,1,1,1,1,1,1,1,33,255,255,112,1,1,1,151,255,229,20,1,1,1,1,1,1,1,1,1,66,255,251,84,1,1,1,249,255,151,1,1,1,1,1,1,1,1,1,1,164,255,236,1,1,1,1,249,255,151,1,1,1,1,1,1,1,1,1,1,164,255,236,1,1,1,94,254,255,53,1,1,1,1,1,1,1,1,1,30,233,255,138,1,1,1,125,255,255,20,1,1,1,1,1,1,1,1,1,40,255,255,105,1,1,1,157,255,228,15,1,1,1,1,1,1,1,1,1,72,255,249,79,1,1,1,255,255,144,1,1,1,1,1,1,1,1,1,1,171,255,229,1,1,1,1
ARIAL,ARIAL NARROW,71,0.400000,1,0.000000,33,25,50,37,20,20,1,1,1,1,1,1,1,94,154,236,255,255,255,255,159,120,12,1,1,1,1,1,1,1,1,67,205,254,255,255,255,255,255,255,255,255,216,116,1,1,1,1,1,12,134,255,255,233,169,75,1,1,1,50,144,249,255,239,86,1,1,1,1,166,255,255,203,32,1,1,1,1,1,1,1,78,233,255,243,47,1,1,159,255,249,138,1,1,1,1,1,1,1,1,1,1,63,255,255,145,1,78,247,255,166,1,1,1,1,1,1,1,1,1,1,1,13,195,255,255,1,180,255,222,34,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,47,243,255,145,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,118,255,255,63,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,228,255,195,13,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,255,255,180,1,1,1,1,1,1,69,255,255,255,255,255,255,255,255,235,1,255,255,180,1,1,1,1,1,1,180,255,255,255,255,255,255,255,255,125,1,255,255,180,1,1,1,1,1,1,1,1,1,1,1,1,83,255,255,97,1,255,255,180,1,1,1,1,1,1,1,1,1,1,1,1,138,255,239,58,1,173,255,225,38,1,1,1,1,1,1,1,1,1,1,1,221,255,214,1,1,71,247,255,118,1,1,1,1,1,1,1,1,1,1,1,221,255,214,1,1,1,207,255,233,78,1,1,1,1,1,1,1,2,52,189,255,255,76,1,1,1,58,239,255,249,199,103,3,1,1,20,114,206,255,255,255,231,46,1,1,1,1,31,191,255,255,255,255,255,255,255,255,255,255,207,116,23,1,1,1,1,1,1,12,65,154,206,255,255,255,255,189,151,52,3,1,1,1,1,1
ARIAL,ARIAL NARROW,70,0.400000,1,0.000000,34,23,48,33,20,20,1,1,1,1,39,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,1,1,1,1,155,255,255,255,255,255,255,255,255,255,255,255,255,255,255,140,1,1,1,1,194,255,255,86,22,22,22,22,22,22,22,22,22,22,22,9,1,1,1,24,209,255,234,53,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,93,255,255,171,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,93,255,255,171,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,209,255,255,55,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,248,255,255,16,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,37,250,255,255,76,64,64,64,64,64,64,64,64,64,64,64,12,1,1,1,147,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,47,1,1,1,147,255,255,232,213,213,213,213,213,213,213,213,213,213,213,123,1,1,1,35,228,255,227,29,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,47,255,255,217,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,86,255,255,178,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,201,255,255,62,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,201,255,255,62,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,76,242,255,186,16,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,101,255,255,163,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,140,255,255,124,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,255,255,255,8,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
ARIAL,ARIAL NARROW,69,0.400000,1,0.000000,34,23,48,36,20,20,1,1,1,1,142,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,1,1,1,22,227,255,255,255,255,255,255,255,255,255,255,255,255,255,255,149,1,1,1,29,255,255,178,22,22,22,22,22,22,22,22,22,22,22,22,10,1,1,1,64,255,255,135,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,171,255,255,29,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,171,255,255,29,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,43,234,255,171,8,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,57,255,255,142,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,93,255,255,171,64,64,64,64,64,64,64,64,64,64,64,50,1,1,1,1,199,255,255,255,255,255,255,255,255,255,255,255,255,255,255,199,1,1,1,1,199,255,255,213,213,213,213,213,213,213,213,213,213,213,213,48,1,1,1,64,241,255,149,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,86,255,255,114,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,121,255,248,86,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,227,255,227,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,227,255,227,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,86,248,255,121,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,114,255,255,100,22,22,22,22,22,22,22,22,22,22,22,22,15,1,1,1,149,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,171,1,1,1,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,52,1,1,1
ARIAL,ARIAL NARROW,68,0.400000,1,0.000000,34,23,48,37,20,20,1,1,1,1,173,255,255,255,255,255,255,255,255,255,155,115,10,1,1,1,1,1,1,42,235,255,255,255,255,255,255,255,255,255,255,255,180,26,1,1,1,1,1,56,255,255,135,22,22,22,22,22,22,73,171,253,255,223,49,1,1,1,1,90,255,252,94,1,1,1,1,1,1,1,1,108,242,255,189,1,1,1,1,193,255,242,1,1,1,1,1,1,1,1,1,1,143,255,252,98,1,1,1,193,255,242,1,1,1,1,1,1,1,1,1,1,52,243,255,141,1,1,57,240,255,138,1,1,1,1,1,1,1,1,1,1,1,180,255,255,1,1,76,255,255,104,1,1,1,1,1,1,1,1,1,1,1,180,255,255,1,1,111,255,247,78,1,1,1,1,1,1,1,1,1,1,1,180,255,255,1,1,214,255,221,1,1,1,1,1,1,1,1,1,1,1,1,180,255,255,1,1,214,255,221,1,1,1,1,1,1,1,1,1,1,1,37,224,255,233,1,73,245,255,118,1,1,1,1,1,1,1,1,1,1,1,63,255,255,118,1,97,255,255,83,1,1,1,1,1,1,1,1,1,1,1,131,255,245,59,1,131,255,242,63,1,1,1,1,1,1,1,1,1,1,56,237,255,200,1,1,235,255,200,1,1,1,1,1,1,1,1,1,1,1,198,255,238,57,1,1,235,255,200,1,1,1,1,1,1,1,1,1,1,184,255,255,134,1,1,88,250,255,97,1,1,1,1,1,1,1,1,49,137,252,255,163,19,1,1,118,255,255,79,22,22,22,22,22,50,128,139,246,255,255,203,28,1,1,1,152,255,255,255,255,255,255,255,255,255,255,255,255,224,91,12,1,1,1,1,255,255,255,255,255,255,255,255,255,255,235,149,89,22,1,1,1,1,1,1
ARIAL,ARIAL NARROW,67,0.400000,1,0.000000,33,25,50,36,20,20,1,1,1,1,1,1,18,74,154,210,255,255,255,244,154,108,35,1,1,1,1,1,1,1,1,103,210,255,255,255,255,255,255,255,255,255,239,103,1,1,1,1,1,18,210,255,255,244,137,103,1,1,1,69,103,227,255,255,114,1,1,1,23,176,255,255,131,40,1,1,1,1,1,1,1,23,233,255,239,46,1,1,142,255,255,159,12,1,1,1,1,1,1,1,1,1,86,255,255,142,1,69,244,255,199,1,1,1,1,1,1,1,1,1,1,1,18,210,255,255,1,227,255,239,46,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,91,250,255,171,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,142,255,255,86,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,255,255,210,18,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,255,255,199,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,255,255,199,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,255,255,199,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,255,255,199,1,1,1,1,1,1,1,1,1,1,1,1,1,69,205,205,91,171,255,255,86,1,1,1,1,1,1,1,1,1,1,1,23,233,255,199,1,69,244,255,199,1,1,1,1,1,1,1,1,1,1,1,171,255,233,52,1,1,199,255,255,199,29,1,1,1,1,1,1,1,46,210,255,239,103,1,1,1,18,210,255,255,233,114,23,1,1,1,91,125,239,255,255,114,1,1,1,1,1,23,171,233,255,255,255,255,255,255,255,255,250,148,57,1,1,1,1,1,1,1,1,29,154,188,255,255,255,255,165,131,46,1,1,1,1,1,1
